Class 1,Sub class 2,Sub class 3,Synonym,Definition
Ball game,Badminton,,,"Racquet sport played between two players (singles) or two pairs (doubles) in two half-courts separated by a net. The players, known as badminton players, score points by hitting a shuttlecock with a racket into the opponent's court. The game ends as soon as the shuttlecock hits the ground or gets caught in the net."
Ball game,Baseball,,,"Sport that pits two teams of 5 players on a small field, with no specific equipment required: only a ball is necessary. A game is played
over 5 innings. The objective is to hit the ball, run the bases, and score points by returning to the starting point."
Ball game,Basketball,,,"Team sport played on a rectangular court, in which two teams of five players play against each other and try to score by throwing the ball into the opponent's basket."
Ball game,Wheelchair basketball,,,Discipline adaptation of the able-bodied basketball version in wheelchair. The object of the game is to score the most points in the opposing team’s basket. The team with the most points by the time the clock expires wins.
Ball game,Volleyball,,,"Spors played between two teams of 6 players on a court measuring 18 by 9 meters, separated by a net. The ball is touched a maximum of three times before being sent into the opponent's court. The objective is to make the ball land in the opponent's court. The match
is played to 3 winning sets, each set up to 25 points."
Ball game,Beach volleyball,,,"Discipline in which two teams of two players compete on an outdoor sand court measuring 8x16m, separated by a net, with a ball that they throw back and forth using their hands or feet.  A match is played in 2 winning sets of 21 points (+ a tie-break of 15 points)."
Ball game,Bocce,,,"Precision sport intended for people with motor disabilities. It is played individually, in pairs, or in teams of 3. The court measures 12.5 by 6 meters, with a hard, smooth surface. Each team has 6 colored balls and attempts to place them as close as possible to a white ball called the ""jack"". The game is played over several rounds."
Ball game,Cricket,,,"Batting and ball sport played between two teams of 11 players. The game is played on a cricket pitch, with a 20-metre pitch in the centre. There are two wickets at either end of the pitch. Cricket is a popular game, the aim of which is to score the most runs."
Ball game,Floorball,,,"Team sport derived from hockey, played indoors with two teams of 5 field players and 1 goalkeeper. The court measures 40 by 20 meters and is surrounded by low boards about 50 cm high. A lightweight stick and a plastic ball are used. A match lasts 3 periods of 20 minutes. The aim is to score in the opponent’s goal by controlling the ball with the stick."
Ball game,Football,,,"Sport in which two teams of eleven players each compete on a rectangular pitch between 90 and 120 metres long and between 45 and 90 metres wide. The aim is to kick a spherical ball into the opponent's goal using the feet, head or any other part of the body (except the hand or arm)."
Ball game,Handball,,,"Discipline in which two teams of seven players play on a rectangular pitch measuring 40 metres by 20 metres, divided into two halves. The winner of a match is the team with the most goals at the end of the two 30-minute periods. Each goal is scored by kicking the ball into the opposing goal. The ball is handled by the players and ‘ball in hand’ movements are limited to three steps, except when dribbling. However, the attacker is allowed to jump over the goal area and take his shot before touching down again, in order to be closer to the goal."
Ball game,Hockey,,,"Collective ball sport pitting two teams of eleven players against each other, including an equipped goalkeeper. Field hockey is played outdoors on a large playing field (91.40 m x 55 m). It is played with a ball that players try to send into the opponent's goal with a stick."
Ball game,Ice hockey,,,"Team sport played 6 vs 6, with 1 goalkeeper and 5 field players per team, on a rink surrounded by boards, measuring up to 60 by 30 meters (Olympic size). The objective is to score in the opponent’s net by sending a puck with a stick. A match consists of 3 periods of 15 to 20 minutes depending on the category. The rink is divided into 3 zones: defensive, neutral, and attacking. This sport allows regulated physical contact and permits unlimited substitutions. In case of a tie, overtime and shootouts can decide the winner."
Ball game,Field hockey,,,"Team sport that pits two teams of 11 players, including a goalkeeper, on an outdoor field measuring 91.4 by 55 meters. Each player uses a stick to manipulate a hard ball. The objective is to score in the opponent’s goal. A match is played in 4 quarters of 15 minutes each."
Ball game,Lacrosse,,,"Discipline played by two teams of 10 outdoor site in which the players each use a long stick with a net at the end to catch, carry, and throw a small ball, and try to get the ball in the other team's goal."
Ball game,Netball,,,"Discipline derived from basketball, primarily played by women, in which two teams of seven players compete on a rectangular court. Each team must pass the ball and attempt to score by throwing it into elevated hoops located at either end of the court. The match lasts sixty minutes. A player in possession of the ball may hold it for only three seconds before passing it to a teammate or attempting a shot. Players are assigned specific positions that define their roles within the team and restrict their movement on the court."
Ball game,Rugby,,,"Discipline in which two teams of fifteen players compete, aiming to either ground an oval-shaped ball behind the opponent’s goal line (➙ try), or to kick it between the goalposts."
Ball game,Soccer,,,"Canadian discipline to designate football. Opposed two teams of eleven people, where each team tries to win by kicking a ball into the other team's goal."
Ball game,Softball,,,"Team sport played with a larger, softer ball than baseball, thrown underhand from a mound on a smaller, more compact field than baseball. It pits two teams composed of 9 players in defense and up to 10 in offense. National disciplines include women’s, men’s,
and mixed softball, organized in leagues such as Division 1 or 2, the Super League, and the France Challenges."
Ball game,Squash,,,"Racket sport played by two players in an enclosed court. With their rackets, players alternately hit a ball against the front wall, following precise rules. Each rally begins with a serve. A point is scored on every rally, and the first player to reach 11 points (with a 2-point margin) wins the game. A match is played in 3 or 5 games. The ball, racket, and court must comply with World Squash Federation standards. The game is supervised by a referee and a marker, responsible for the score and game decisions."
Ball game,Table tennis,,Ping pong,Racket sport played by 2 or 4 players on a table separated by a net. Players exchange a lightweight ball using wooden rackets covered with rubber. The objective is to score points by making the ball bounce on the opponent’s side in such a way that the opponent cannot return it correctly. A match is played to 3 or 4 winning games of 11 points (with a 2-point margin).
Ball game,Tennis,,,"Racket sport played in singles (1 vs 1) or doubles (2 vs 2), on a rectangular court divided by a net. The objective is to exchange the ball by hitting it before the second bounce to score points. A match is played in sets (2 or 3 winning sets depending on the competition)."
Ball game,Water polo,,,"Team sport played in an aquatic environment, in a swimming pool. Two teams of seven players play against each other, with the aim of scoring more goals than their opponents in four eight-minute periods."
Combined,,,,"A competition that brings together events of different types. In skiing, the alpine combined includes both downhill and slalom races. Other combined sports include the triathlon (swimming, cycling, running), the decathlon (ten track and field events), the heptathlon (seven track and field events), the modern pentathlon (fencing, swimming, equestrian, shooting, and running), and the Nordic combined (cross-country skiing and ski jumping)"
Combined,Track and field/Athletics,,Track,"Sport encompassing several disciplines: running, jumping, throwing, combined events, race walking, cross-country, trail, and mountain running. It is practiced in stadiums or outside, both recreationally and competitively. The goal is individual or team performance in codified events."
Endurance,,,,Included sports in which the main training was aerobic endurance training
Endurance,Swimming,,,"Sport encompasses all aquatic activities practiced in pools or open water: competitive swimming, artistic swimming, water polo, diving, or open-water swimming."
Endurance,1500m,,,The 1500m is the marquee middle-distance running event. Athletes compete by running three and three-quarters laps of a standard outdoor 400m track and the winner is the athlete who crosses the finish line first.
Endurance,3000m,,,Middle-distance running event that covers 7 and a half laps of a standard 400m track. The winner is the athletes who crosses the finish line in the fastest time.
Endurance,5000m,,,The 5000m is a classic long-distance track and field event that covers 12-and-a-half laps of a standard 400m track. The winner is the athlete who crosses the finish line first.
Endurance,10000m,,,"The 10,000m is a long-distance running event that takes place on a standard 400m running track. Athletes complete 25 circuits of the track and the winner is the runner who crosses the finish line in the fastest time."
Endurance,Cross-country,,,"Races, for both teams and individuals, are run on either grass or woodland courses and might also include stretches of gravel paths, road and hills. Races usually take place in the winter months, outside the usual track and field season. The IAAF recommend for international competitions that there is a main course loop of between 1750m and 2000m with natural obstacles used where possible, and the likes of deep ditches, dangerous ascents and descents as well as thick undergrowth should be avoided."
Endurance,Marathon,,,"Long-distance running event of 42.195 kilometres, recognized as one of the premier athletics disciplines. It is held exclusively on roads and has been part of the Olympic Games since 1896 for men, and since 1984 for women."
Endurance,Half marathon,,,"Road running event with an official distance of 21.0975 kilometres, half a marathon. The half-marathon is not part of major international athletics competitions like the Olympic Games or World Championships."
Endurance,Race walking,,,"Athletics discipline in which participants must walk while keeping one foot in contact with the ground at all times, never running, and with the supporting leg straight from the moment it touches the ground until it passes under the body."
Endurance,Ultramarathon,,,"Refers to any running event longer than the marathon distance (42.195 km). These races fall into two main categories: fixed-distance events (50 km, 100 km, 160 km –100 miles, etc.) and time-based events (6 hours, 12 hours, 24 hours or several days), where runners seek to cover the greatest distance possible within the allotted time. Ultra races take place across various environments: roads, tracks, or natural trails (trail)."
Endurance,Aerobic endurance training,,,Refers to continuous and rhythmic physical activity that relies primarily on the aerobic energy system. It aims to improve the efficiency of the cardiovascular and respiratory systems in supplying oxygen to working muscles over extended periods.
Endurance,Fell running,,,A type of hill or mountain running often involves routes with no paths. You will also be required to navigate (without GPS) and usually be self-sufficient.
Endurance,Cycling,,Biking,"Any sporting activity performed on a bicycle, consisting of covering a certain distance."
Endurance,Jogging,,,"Running practiced for physical fitness, on a wide variety of terrains such as woods and countryside, roads, and city streets."
Endurance,Rowing,,,"A speed and glide sport practiced in long, streamlined boats made of carbon fiber, wood, or composite materials. The unique feature of this discipline lies in the rower's position: facing away from the direction of travel, seated above the water level on a sliding seat called a 'slide', and propelling the boat using oars. Depending on the type of boat, the rower uses either a single sweep oar (measuring between 3.5 to 4 meters) held with both hands, or two sculling oars (about 3 meters each), one in each hand."
Endurance,Rowing,Rowing heavyweight,,"Category of athletes who compete with no weight restriction, as opposed to lightweight. This specialty includes rowers whose body mass may be high, enabling them to develop maximum power during races. Heavyweight competitions include various boat classes such as the single scull, coxless pair, coxless four, or eight."
Endurance,Rowing,Rowing lightweight,,"Olympic rowing category introduced at the Atlanta Games in 1996. This specialty is distinguished by precise weight restrictions: for women, each athlete must not exceed 59 kg, and the crew’s average weight cannot exceed 57 kg. For men, the individual limit is set at 72.5 kg, with a crew average maximum of 70 kg. These constraints ensure balanced competition among lighter rowers while maintaining the high physical, technical, and strategic demands of high-level rowing."
Endurance,Running,,Distance running,The sport of moving on your feet at a speed faster than walking
Endurance,Running,Running long distance,Long distance,"Refers to all endurance running events over significant distances, generally beyond 5000 metres, whether on track, road, or natural
terrain."
Endurance,Running,Running middle distance,,"Middle-distance running (between 800 and 3,000 metres)"
Endurance,Triathlon,,,"Triathlon consists of a sequence of three sporting activities: swimming, cycling and running. The sequence is completed without external assistance and without stopping the stopwatch when changing disciplines (transition). Olympic Distance, Long Distance, Sprint Distance and Mixed Relay triathlons are recognized as high-level disciplines. Women's and men's individual events are run over Distance M (Olympic Distance), i.e. 1.5 km swimming, 40 km cycling and 10 km running."
Endurance,Hike,,,"A nature sport that involves designing and traveling a route by walking, not running. A hike is a walking route with an actual walking time of more than 4 hours (effort index from 26). It can be practiced on all supports allowing a pedestrian path without equipment and/or progression techniques related to mountaineering."
Endurance,Long distance speed skating,,,"Long track speed skating is done on a 400m ice oval. Most long track is raced in a time-trial format, where two skaters will go head to head during a race. During the Mass Start event, a skater will go to the line with over 15 other skaters. Long track is also traditionally done on a clap-blade skate. This means that the blade partially separates from the skating boot to help keep the blade on the ice for longer, similar to cross country skis."
Power,,,,All sports in which the main component of the training was strength training
Power,Speed skating,,,"A discipline practiced on a 400m ice rink. Races are held between two skaters, each in a lane. Each lap, on the straight, the skaters switch lanes to cover the same distance."
Power,Cross training,,,Exercise that makes your whole body stronger by combining several different activities
Power,Cross training,Crossfit,,"Sporting activity combining gymnastics, weightlifting, and endurance"
Power,100 meters,,,"Athletes stick to a lane and run down a straight 100m track, which is generally the straight section of a standard 400m track. Athletes start the race on blocks, which include sensors to detect false starts. The starting pistol is fired to signal the start of the race. Athletes then push off from the starting blocks by putting all their power into both legs. The fastest time wins the race and often places are separated by thousandths of a second."
Power,200 meters,,,The 200m sprint is a popular track and field event where athletes race around half of a standard 400m outdoor track.
Power,Javelin throw,,,"The javelin is a track and field event where athletes compete to throw a javelin, a long spear-like object with a metal head, the farthest distance."
Power,Sprint,,Track sprints,"Sprint is an athletics event consisting of a race at maximum speed over a short distance, typically 100 meters, where athletes use all their speed, agility, and strength to reach the finish line as quickly as possible."
Power,Throwing,,Track throws,"An event in which athletes throw the discus, javelin, hammer, or shot put as far as possible."
Power,Anaerobic exercise,,,"Anaerobic exercise has been defined by the ACSM as intense physical activity of very short duration, fueled by the energy sources within the contracting muscles and independent of the use of inhaled oxygen as an energy source"
Power,Anaerobic exercise,HIIT,gymgoer HIIT,High-Intensity Interval Training (HIIT) is a physical training method alternating short bursts of intense effort with periods of recovery.
Power,Muscular fitness,,,"Muscular fitness refers to the combined status of muscular strength and muscular endurance. Muscular strength is the maximal force a specific muscle or muscle group can generate, while muscular endurance is the ability to perform repeated contractions over time until fatigue. Strength can be assessed dynamically or through isokinetic testing. Musculoskeletal flexibility, often evaluated alongside muscular fitness, focuses on joint-related structures and is commonly assessed using tests like the sit-and-reach."
Power,Resistance fitness,,,"Resistance fitness refers to specialized physical conditioning methods that apply a variety of resistance loads, different movement speeds, and various training methods, including weight machines, free weights (barbells and dumbbells), elastic bands, medicine balls, and plyometrics."
Power,Strenght training,,,"Strength training (or weight training) consists of physical activities aimed at increasing muscle strength, power, endurance, and muscle mass through exercises such as weightlifting, pull-ups, or push-ups."
Power,Weightlifting,,Olympic weightlifting,"Weightlifting is an exercise that requires strength, flexibility, and explosiveness. This sport is divided into two movements: the snatch, and the clean and jerk."
Power,Powerlifting,,,"A strength sport with categories based on age, body weight, and gender, recognized at a high-performance level. It consists of three lifts: the Squat, the Bench Press, and the Deadlift. In competition, athletes aim to lift the maximum weight possible in each lift. They are allowed three attempts per movement, and the best successful attempt in each is used to calculate a 'Total.' The highest Total determines the winner in each category"
Power,Weight training,,Gymgoer weights,"The activity of lifting heavy objects for exercise, especially to improve the strength of muscles and the appearance of the body."
Technical,,,,Sports where athletes are judged on the technique of their sport.
Technical,Hula hooping,,,Hula hooping is an activity that involves spinning a hoop around the body (mainly the waist) using quick hip movements; the hoop itself is also referred to as a hula hoop.
Technical,100m hurdles,,,"The 100m hurdles is a women’s track and field event where athletes sprint over a series of 10 hurdles of 83,8cm (2ft 9in) set over a distance of 100m. The goal is to successfully clear the hurdles and cross the finish line in the fastest time."
Technical,400m hurdles,,,"The 400m hurdles is a demanding short-distance track and field event where athletes race one lap of a standard 400m track. Throughout the lap, runners must jump cleanly over 10 hurdles that are spaced evenly apart."
Technical,High jump,,,"The high jump is a track and field event in which competitors leap (unaided) from one foot over a four-metre-long horizontal bar. Athletes accelerate down the runway, take off on one foot and aim to clear the greatest height without knocking the bar to the ground. Once they’ve completed their jump, athletes land on a crash mat."
Technical,Long jump,,,"The long jump is a track and field event that requires competitors to sprint along a runway until they reach a take-off board. From here, they jump as far as possible into a sandpit. The distance travelled, from the edge of the board to the closest indentation in the sand, is then measured and the winner is the athlete who jumps the farthest."
Technical,Pole vault,,,"The pole vault is a track and field event in which an athlete vaults over a 4.5-metre long horizontal bar. The vaulter sprints down a runway, plants a long, flexible pole (usually made of carbon fibre or fibreglass) against a ‘stop board’ at the back of a recessed metal box sited centrally at the base of the uprights. They then launch themselves into the air, seeking to clear the greatest height without knocking the bar to the ground."
Technical,Alpine skiing,,skiing,"Discipline that consists of climbing a mountain to ski down it as quickly as possible. Alpine skiing comprises 6 events: downhill, super-G, giant slalom, slalom, alpine combined and team events."
Technical,Acrobatic skiing,,,"A winter sport that combines traditional skiing with aerial acrobatics and high-speed tricks. Athletes perform jumps, spins and flips while hurtling down courses littered with obstacles such as moguls, ramps and halfpipes. It is also called freestyle skiing."
Technical,Freestyle skiing,,,"Sport that combines skiing and acrobatics. It includes a range of disciplines such as mogul skiing, ski jumping, ski cross, and slopestyle, halfpipe, and big air skiing."
Technical,Cross-country skiing,,,"A cross-country sport involving skiing on hilly or flat slopes. The skis used are long, narrow, have no metal edges and are attached only to the front of the boot. Cross-country skis can be used in two ways: the traditional technique, known as the ‘classic’ or ‘alternating stride’, which consists of moving forward in two parallel tracks."
Technical,Biathlon,,,Discipline combines cross-country skiing and rifle shooting (22 long rifle) at a distance of 50 metres in 2 different positions: prone and standing.
Technical,Snowboarding,,,"Snowboarding involves descending a slope while on a snowboard attached to a rider's feet.

Alpine Snowboarding is a head-to-head competition that features riders going down an alpine-style course alternating between gates. It features a knock-out format with several rounds before a winner is determined.

Snowboard Cross has a mass start of six racers designed to test the skiers’ skills in turns of a variety of types and sizes, flat sections and traverses, as well as rolls, banks and ridges. The fastest skier wins."
Technical,Archery,,,"Target archery is the discipline of shooting at stationary circular targets set at specific distances. The competition rounds at international events use the recognisable yellow, red, blue, black and white targets set at distances of 70 metres for recurve archers and 50 metres for compound archers. Other internationally recognised formats, like the 1440 Round, use distances of 90, 70, 60, 50 and 30 metres."
Technical,Crew,,,"In rally or long-distance circuit racing, the group of drivers in a car or the group formed by the driver and the navigator responsible for guiding him."
Technical,Equestrian,,Riding,"Technique of driving a horse under human control. It can be practised as an art, a leisure activity or a sport. In this discipline, the human partner is an equine, most often a horse or pony. There are twenty-two equestrian sports, including four outdoor sports: eventing (CCE), equestrian endurance, driving and TREC."
Technical,Team vaulters,,,Refers to gymnastics on a horse: the vaulter performs acrobatics on the back of a galloping horse
Technical,Fencing,,,"Fencing is a combat sport practiced with a bladed weapon.In fencing, two opponents face each other on a raised strip, sometimes called the ""field of play.""
The strip is 14 meters long and 1.5 meters wide.If a fencer steps off the side of the strip, they must retreat by 1 meter.If a fencer crosses the rear end of the strip, a point is awarded to their opponent.A bout between two fencers with a recorded score is called a “match.” A match consists of three periods of three minutes.During a match, the objective is to score a valid hit on the opponent.Each valid hit counts as one point. The first fencer to reach 15 points wins."
Technical,Golf,,,"Golf is a sport in which players aim to hit a ball into 18 successive holes on a large course using clubs, with the fewest possible strokes. The course covers an area between 40 and 60 hectares. On the course, the golfer encounters obstacles such as ponds, lakes, streams, and sandy areas called “bunkers.”
The 18 holes are spaced at distances ranging from 130 to 530 meters. Depending on the golf course, the total distance for all 18 holes ranges from 5,700 to 6,500 meters. The hole has a diameter of 10.8 cm and a minimum depth of 10 cm, and is marked with a flag."
Technical,Jumping,,,An equestrian sport consisting of an obstacle course.
Technical,Orienteering,,,"Foot orienteering is an endurance sport which involves a huge mental element. There is no marked route – the orienteer must navigate with map and compass while running. The map gives detailed information on the terrain such as hills, ground surface, obstacles etc. To be successful in foot orienteering, the athlete needs excellent map reading skills, absolute concentration and the ability to make quick decisions on the best route while running at high speed. Orienteers run over rough ground, completely unprepared forest terrain or rough open hills – cross country in the true sense of the word."
Technical,Sailing,,,"The sport of sailing on water using different types of craft, from a simple float, as in windsurfing, to a real boat powered by the wind."
Technical,Shooting,,Sport shooting,"Sport shooting is a precision sport where participants aim at targets with firearms (rifle, pistol, shotgun).
There are various disciplines: shooting at 10 m, 25 m, 50 m, or in Olympic trap (skeet, trap)."
Technical,Skateboarding,,,"The discipline of riding and performing tricks on a skateboard. Skateboarders stand on this flat wooden board, made up of a tail, a concave and a nose, on which their combined momentum and footwork enable them to perform tricks."
Technical,Skating,,,"Skating is an ice sport that includes several disciplines:
Figure skating is a sport that combines acrobatics with precision movements. It can be performed individually or as a pair. The technical elements – such as jumps and spins – are very recognizable and punctuate the choreography.
Pair skating differs from ice dance by including many overhead lifts, the famous ""death spiral,"" and throw jumps.
Synchronized figure skating is a spectacular team sport judged and appreciated by audiences, where 12 to 16 skaters move in perfect harmony on the ice, with a mostly female audience."
Technical,Surf lifesaving,,,"Lifesaving sport at sea is a discipline that simulates real rescue situations. It combines pool and ocean events (finswimming, mannequin towing, rescue board, surf ski, etc.). This sport requires lifeguard swimming skills and is often practiced by members of lifesaving clubs affiliated with the FFSS."
