CLASS;sub-class 1;sub-class 2;sub-class 3;sub-class 4;sub-class 5;Synonym;Modification proposée;NB DE RELATIONS POSITIVE (Facteurs de risque);NB DE RELATIONS NEGATIVES (Facteurs protecteurs);NB DE RELATIONS NS;Relations Flous;DOI Distincts;Définition;Outils;Autres outils utilisés pour ces variables
DEAB;Muscle Dysmorphia;Muscle dysmorphic tendencies (behaviours and thoughts);;;;;;;;;;;Refers to repetitive coping behaviors like excessive grooming, mirror checking, and reassurance seeking (Snorrason et al., 2024);Body Dysmorphic Disorder Modification factor of the Yale-Brown Obsessive Compulsive Scale (BDD-Y-BOCS) - Avoidance and psychological symptoms;
DEAB;Muscle Dysmorphia;Muscularity oriented disordered eating;;;;Muscularity-oriented eating behaviours;;;;;;;"""Reflect eating disorder symptoms that are motivated by the pursuit of a lean, muscular body ideal"" (Mazaraki et al., 2024)";Muscularity-Oriented Eating Test (MOET);
DEAB;Muscle Dysmorphia;Muscularity oriented eating;;;;;;;;;;;Reflect participants attitudes and behaviours concerning leanness and muscularity-oriented eating (Mazaraki et al., 2024);;
DEAB;Muscle Dysmorphia;Supplementation;;;;;;;;;;;"""Assess the use of legal substances designed to enhance workout quality or recuperation"" (Thomas et al., 2014)";Muscle Dysmorphia Inventory (MDI);
DEAB;Orthorexia;;;;;;;;;;;;"""Orthorexia is characterized by an excessive concern with healthy food, and not with the amount of food or obsession with the perfect body"" (Freire et al., 2020)";ORTHO-11;ORTO-15
DEAB;Orthorexia;Orthorexia nervosa;;;;;;;;;;;"""Describe the obsessive preoccupation with self-imposed rigid dietary rules based on exaggerated perceptions of the health benefits and harms associated with food"" (Wachten et al., 2024)";Teruel Orthorexia Scale (TOS);
DEAB;Orthorexia;Orthorexic behavior;;;;Orthorexic eating behavior;;;;;;;"Refers to ""behaviours and obsessive attitude of the individuals in choosing, buying, preparing and consuming food they consider to be healthy"" (Gramaglia et al., 2017)";;
DEAB;Orthorexia;Orthorexic attitude and behavior;;;;;;;;;;;;;
DEAB;Restrictions;;;;;;;;;;;;Refers to intentional and chronic effort to limit food intake in order to control body weight (Herman & Polivy, 1975);Eating Attitudes Test (EAT-18);
DEAB;Restrictions;Behavioral restrained eating;;;;;;;;;;;"""Assess dietary behaviors designed to produce weight loss and weight maintenance"" (Van Strien et al., 1986)";Dutch Restrained Eating Scale (DRES);
DEAB;Restrictions;Cognitive restraint;;;;;;;;;;;"""Refers to the tendency to control food intake in order to influence body weight"" (Mathisen et al., 2019)";The Three Factor Eating Questionnaire (TFE-Q);Eating Pathology Symptoms Inventory (EPSI)
DEAB;Restrictions;Diet and exercise;;;;;;;;;;;Reflecting exercising and dietary restraint (Rahal et al., 2012);Compensatory Eating and Behaviors in Response to Alcohol Consumption Scale (CEBRACS);
DEAB;Restrictions;Diet manipulation;;;;;;;;;;;"""Refers to the extent that individuals monitor and manipulate their diet to achieve muscularity"" (Thomas et al., 2014)";Muscle Dysmorphia Inventory (MDI);
DEAB;Restrictions;Dietary intention to restraint;;;;;;;;;;;"""Refers to the athletes self-reported intentions to restrain their eating with the purpose of trying to lose weight"" (Anderson et al., 2012)";Dietary Intent Scale (DIS);
DEAB;Restrictions;Dieting;;;;Diet, Dietary, dietary restraint;;;;;;;"Refers to intentional efforts to achieve or maintain a desired weight through reduced caloric intake"" (Laessle et al., 1989)";Eating Attitudes Test (EAT-26);"9-point-scale running from 1(never) to 9(always) with the following item ""Are you trying yo lose weight ?"""
DEAB;Restrictions;Eating restriction;;;;"Restrained eating ; restrictive eating behaviors ; restrictive eating";;;;;;;Assesses endorsement of restrictive behaviors such as dietary restriction, food avoidance, and eating avoidance (Bang et al., 2023);Eating Disorder Examination Questionnaire (EDE-Q);
DEAB;Restrictions;Restraint;;;;;;;;;;;"""Assesses behaviors related to the avoidance of food and the rules followed in diets and feeding"" (Silva et al., 2011)";Eating Disorder Examination Questionnaire (EDE-Q);Dutch Eating Behavior Questionnaire (DEBQ)
DEAB;Restrictions;Restrictive eating behaviors;;;;;;;;;;;"""Behaviors that limiting the consumption of calories and/or nutrients in a manner deleterious to long-term health""(Clermont et al., 2022)";The dietary restriction subscale of the validated short form of the Eating Disorder Examination Questionnaire (EDE-Q);
DEAB;Uncontrolled eating;;;;;;;;;;;;"Refers to the ""tendency to lose control over eating when feeling hungry or with external cues"" (Mathisen et al., 2019)";The Three Factor Eating Questionnaire (TFE-Q);
DEAB;Compensatory behavior;;;;;;;;;;;;Refers to disordered eating behaviors that aimed at counteracting food intake to prevent weight gain or reduce guilt associated with eating, including practices such as self-induced vomiting, misuse of laxatives or diuretics, excessive exercise, and fasting (American Psychiatric Association, 2000);;
DEAB;Compensatory behavior;Laxatives, diuretics;;;;;;;;;;;Laxatives are pharmacological agents that facilitate bowel movements by accelerating intestinal transit or softening stool, and diuretics are substances that increase renal excretion of water and electrolytes by acting on kidney function (National library of medicine, 2024);Eating Attitudes Test (EAT-26);
DEAB;Compensatory behavior;Oral control;;;;;;;;;;;"""Refers to self-control around eating and perceptions of societal pressure to gain weight"" (Wider et al., 2023)";Eating Attitudes Test (EAT-26);
DEAB;Compensatory behavior;Purging;;;;;;;;;;;"""The activity of expelling food that has just been ingested, usually by vomiting or the use of laxatives"" (American Psychological Association Dictionary)";Number of reported purge episodes in the past 28 days;Eating Pathology Symptoms Inventory (EPSI)
DEAB;Compensatory behavior;Substance use;;;;;;;;;;;"""Described a willingness to try steroids and other potentially risky means to obtain musle mass"" (Mayville et al., 2002)";Muscle Appearance Satisfaction Scale (MASS);
DEAB;Compensatory behavior;Vomit;;;;;;;;;;;"Refers to the vomiting behavioral: ejecting the contents of the stomach through the mouth (Nieuwoudt et al., 2015 ; American Psychiatric Association Dictionary)";Eating Attitudes Test (EAT-26);
DEAB;Compensatory behavior;Vomiting-purging behaviors;;;;;;;;;;;"""Focus on characteristics more closely associated with bulimia nervosa"" (Maiano et al., 2015)";Eating Attitudes Test (EAT-18);
DEAB;Dependence and Excessive Exercise;;;;;;;;;;;;"""Refers to exercise that significantly interferes with important activities, occurs at inappropriate times or in inappropriate settings, or continues despite injury or other medial complications"" (DSM-V)";;
DEAB;Dependence and Excessive Exercise;Addiction to exercise;;;;;;;;;;;"""Characterized by uncontrollable behaviour for the practice of
physical exercise, which is manifested by physiological
symptoms of tolerance and abstinence and/or psychological symptoms, such as anxiety and depression"" (Freire et al., 2020)";;
DEAB;Dependence and Excessive Exercise;Compulsive exercise;;;;;;;;;;;"""Refers to high exercise frequency combined with the inability to reduce or stop exercise behaviors"" (Palermo et al., 2021)";Compulsive Exercise Test Athlete Version (CET-AV);Obligatory Exercise Questionnaire (OEQ)
DEAB;Dependence and Excessive Exercise;Excessive exercise;;;;;;;;;;;Exercising in a driven, compulsive, or excessive manner (Meule et al., 2025);Eating Pathology Symptoms Inventory (EPSI);
DEAB;Disordered eating;;;;;;;;;;;;Describe a range of problematic eating behaviors that do not necessarily meet clinical thresholds (Bourbeau et al., 2025);;
DEAB;Disordered eating;Disordered eating attitudes;;;;;;;;;;;"""Refer to unhealthy attitudes and behaviours ranging from strict dietary habits in order to lose or maintain weight to severe food restriction observed in anorexia"" (Hobart & Smucker, 2000)";;
DEAB;Disturbed eating attitudes and behaviors;;;;;;;;;;;;Refers to abnormal eating-related beliefs, thoughts and feelings (fear of getting fat, drive for thinness…), and abnormal eating behaviors, such as restrictive eating or fasting, overeating or binge eating, skipping meals, or more extreme behaviors such as using medication (diet pills, diuretics, laxatives) or purging (vomiting) (Nattiv et al., 2007);;
DEAB;Eating attitudes;;;;;;;;;;;;Refers to attitudes related to eating disorders (Haase et al., 1999);;
DEAB;Eating behavior;;;;;;;;;;;;Refers to the patterns and habits related to how individuals choose, consume, and interact with food, influenced by both behavioral and cognitive factors (King & Egger, 2017);;
DEAB;Eating disorders;;;;;;;;;;;;"""Refers to persistent disturbance of eating, or eating-related behavior, that results in the altered consumption or absorption of food, and that significantly impairs physical health or psychosocial functioning"" (DSM-V; American Psychiatric Association, 2023)";Eating Disorder Examination Questionnaire (EDE-Q);Eating Attitudes Test (EAT-26)
DEAB;Eating disorders;Anorexia;;;;;;;;;;;"""Defined as an eating disorder characterized by persistent restriction of energy intake leading to significantly low body weight, an intense fear of gaining weight, and a disturbance in body image or denial of the seriousness of low body weight""(American Psychiatric Association, 2013; DSM-V)";Eating Attitudes Test (EAT-26);
DEAB;Eating disorders;Binge eating;;;;;;;;;;;"""Consuming abnormally large quantities of food in a discrete time period with a concurrent sense of loss of control""(American Psychological Association, dictionary)";Binge Eating Scale (BES);Eating Pathology Symptoms Inventory (EPSI)
DEAB;Eating disorders;Bulimia;;;;;;;;;;;"""Characterized by recurrent episodes of binge eating followed by inappropriate compensatory behaviors (e.g., vomiting, fasting, excessive exercise) (American Psychiatric Association, 2013; DSM-V).";Eating Attitudes Test (EAT-26);Bulimic Inventory Test Edinburgh, Symptoms: symptomatic scale (BITE Symptoms)
DEAB;Eating disorders;Bulimia;Bulimia and food preoccupation;;;;;;;;;;"""Investigate binge eating followed by self-induced vomiting to lose/control body weight""(Fortes et al., 2014)";Eating Attitudes Test (EAT-26);
DEAB;Eating disorders;Bulimia;Bulimia modelling;;;;;;;;;;"""Assess modelling of unhealthy eating behaviours"" (Scott et al., 2019)";Bulimic Modelling Scale (BMS);
DEAB;Eating disorders;Bulimia;Bulimic pathology;;;;;;;;;;"""Refers to the presence/absence of behaviors and attitude associated with bulimic disorders. It includes the degree of symptoms and the severity of binge eating based on frequency""(Di Corrado et al., 2021)";Bulimic Investigatory Test, Edinburgh (BITE);
DEAB;Eating disorders;Bulimia;Bulimic symptomatology;;;;;;;;;;"""Assess behaviors and attitudes that comprise symptoms of bulimia nervosa"" (Chatterton et al., 2017)";;
DEAB;Eating disturbance;;;;;;;;;;;;"Refers to ""the defining characteristics of the clinical eating disorders, anorexia nervosa, bulimia nervosa and binge eating disorder"" (Walsh, 2012)";Eating Disorder Inventory (EDI);
Interpersonal factor related to DEAB;;;;;;;;;;;;;"Defined as influences arising from formal and informal social networks and support systems, particularly within individuals’ immediate social environments, including family, peers, and close relationships (McLeroy et al., 1988 ; Bronfenbrenner & Morris, 2007)";;
Interpersonal factor related to DEAB;Advice and Normative Influences;;;;;;;;;;;;Refers to the indirect influence exerted by a group on its members through the power of social norms that shape individual's attitudes and practices regarding eating, body image and exercise. This includes both direct advice and indirect influences through role modelling (International Encyclopedia of the Social & Behavioral Sciences, 2001);;
Interpersonal factor related to DEAB;Advice and Normative Influences;Frequency of receipt of anti-dieting advice;;;;;;5;;;;1;Assess frequency of weight-control behaviours in addition to dieting (Scott et al., 2019);Friends Anti-Dieting Scale (FADS);
Interpersonal factor related to DEAB;Authority and Leadership Styles;;;;;;;;;;;;"""Leadership style refers to the manner in which a leader chooses to lead and interact with their followers"" (Northouse, 2018)";;
Interpersonal factor related to DEAB;Authority and Leadership Styles;Coach's focus on results;;;;;;;;3;;1;"Refers to the ""coach emphasizes the importance of winning"" (Baric et al., 2024)";Coach's Negative Behavior Questionnaire;
Interpersonal factor related to DEAB;Authority and Leadership Styles;Coach's negative feedback;;;;Coach leadership style negative feedback;;;;3;;1;Refers to the use of demeaning, critical, or insulting remarks by a coach toward athletes during training sessions (Baric et al., 2024);Coach's Negative Behavior Questionnaire;
Interpersonal factor related to DEAB;Advice and Normative Influences;Modelled behavior;;;;;;1;;1;;1;"""Modelled behaviours are those adopted behaviours that have been reinforced as the norm in a group"" (Stoyel et al., 2020)";Seven questions;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style vision;;;;;;;;;;;Involves setting long-term goals, providing a sense of purpose, and ensuring consistency in the sporting project (Rui Gomes et al., 2021);;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style inspiration;;;;;;;;;;;Includes fostering enthusiasm, building confidence, and encouraging athletes to exceed their limits (Rui Gomes et al., 2021);;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style instruction;;;;;;;;;;;Includes teaching skills, structuring learning, and providing precise corrective feedback (Rui Gomes et al., 2021);;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style individualization;;;;;;;;;;;Involves recognizing individual differences (e.g., level, personality, emotions, constraints) and personalizing both training and interaction (Rui Gomes et al., 2021);;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style support;;;;;;;;;;;Includes being available, listening actively, and creating a psychologically safe environment.(Rui Gomes et al., 2021);;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style positive feedback;;;;;;;;;;;Involves praise, encouragement, and highlighting progress to strengthen motivation and confidence (Rui Gomes et al., 2021);;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style active management;;;;;;;;;;;Includes proactive supervision, immediate correction of mistakes, and maintaining standards and discipline (Rui Gomes et al., 2021);;
Interpersonal factor related to DEAB;Advice and Normative Influences;Coach leadership style passive management;;;;;;;;;;;;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;;;;;;;;;;;;Authority in leadership refers to the power or right of a leader to make decisions, give orders, and enforce obedience and leadership styles refer to the manner in which leaders interact with their team members and make decisions (Chelladurai, 2007).;;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Childhood victimization;;;;;;;;;;;Refers to experiences of victimization in school and consist of physical, verbal and indirect victimization (Schafer et al., 2004);Restrospecting Bullying Questionnaire (RBQ);
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;;;;;;;;;;;"""In interpersonal relations, conflict denotes the disagreement, discord, and friction that occur when the actions or beliefs of one or more individuals are unacceptable to and resisted by others"" (American Psychological Association Dictionary)";;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Coach conflict;;;;;;;;;;Refers to the conflict experienced in the relationship (Jowett, 2009);;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Coach interpersonal conflict;;;;;;;;;;Refers to the expressions of anger, tension, and uncertainty that arise during disagreements or clashes within coach relationship (Jowett, 2009);;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Interpersonal conflict;;;;;;;;;;"""Interpersonal conflict refers to a social episode marked by overt behavioral opposition between individuals or groups. It is characterized by negative or incompatible attitudes and behaviors directed towards each other"" (International Encyclopedia of the Social & Behavioral Sciences, 2001)";;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Parent conflict;;;;;;;;;;Refers to the expressions of anger, tension, and uncertainty that arise during disagreements or clashes within parent relationship (Jowett, 2009);;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Conflicts;Teammate interpersonal conflict;;;;;;;;;;Refers to the expressions of anger, tension, and uncertainty that arise during disagreements or clashes within teammate relationship (Jowett, 2009);;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Discouragement/sabotage from friends to eat healthy;;;;;;3;;1;;1;Refers to perception of sabotage from friends to eat healthy (e.g., criticized the food I eat) (Sallis et al., 1987);Social Support for Healthy Eating Habits Scale (SSES);
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;;;;;;1;;;;1;Refers to a poor-quality relationship between a child and their parents, characterized by a lack of trust, poor communication, and feelings of alienation or rejection (D'Urso et al., 2023);Parent and Peer Attachment (IPPA);
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;Attachment avoidance;;;;;;;;;;"""Refers to a relational style characterized by negative self-perceptions and a fear of intimacy, leading individuals to employ deactivation strategies that involve refraining from active communication and creating distance in relationships"" (Definition adapted form Bowlby, 1960)";;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;Psychological control father;;;;;;;;;;"Father psychological control is an ""intrusive parenting
tactics to control the child's emotional state and to make
children act, fell and think in parentally approved ways. Such
intrusive tactics include love withdrawal, guilt-induction,
conditional approval, shaming, instilling anxiety, and thinking
patterns"" (Costa et al., 2016)";;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;Parental influences;;;;;;;;;;Refers to the influence of parent concern with thinness and weight teasing by parents (Francisco et al., 2013);;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Inadequate parents' relationships;Psychological control mother;;;;;;;;;;"Father psychological control is an ""intrusive parenting
tactics to control the child's emotional state and to make
children act, fell and think in parentally approved ways. Such
intrusive tactics include love withdrawal, guilt-induction,
conditional approval, shaming, instilling anxiety, and thinking
patterns"" (Costa et al., 2016)";;
Interpersonal factor related to DEAB;Conflicted and Negative Relationships;Insensitivity to athletes well-being;;;;;;;;;;;Refers to the attitude or behavior of a coach who ignores, minimizes or disregards the personal, emotional or psychological needs of athletes (Baric et al., 2024);;
Interpersonal factor related to DEAB;External comments;;;;;;;;;;;;Refer to verbal feedback, criticisms, or evaluations expressed by others (e.g., parents, peers, coaches, or authority figures) about an individual’s body, appearance, or behavior;;
Interpersonal factor related to DEAB;External comments;Severity of critical comment;;;;;;6;;1;;2;Refers to the perceived intensity and emotional response of a remark concerning one’s body shape or weight (Goodwin et al., 2014);Social Hassles Questionnaire (SHQ);
Interpersonal factor related to DEAB;External comments;Severity of critical comment;Severity of critical comment about physical appearance;;;;;;;;;;Refers to the degree to which critical comments concerning weight, body shape or general appearance have a significant emotional and psychological impact (Ausmus et al., 2021);;
Interpersonal factor related to DEAB;External eating and Weight related concerns;;;;;;;;;;;;Refer to the preoccupations, attitudes, and values expressed by significant others regarding eating behaviors, body weight, and physical appearance, which can influence an individual’s own concerns and behaviors;;
Interpersonal factor related to DEAB;External eating and Weight related concerns;Importance of weight and appearance to family and friends;;;;;;1;;;;1;Refers to the degree of importance of weight and appearance to family and friends (Reel et al., 2010);Sport Related Weight Pressures in Sport Scale-Females (WPS-F);
Interpersonal factor related to DEAB;External eating and Weight related concerns;Perceived encouragements for healthy eating habit;;;;;;;;;;;Refers to individuals' perceptions about encouragement/compliments related to healthy eating habits (Scott et al., 2019);;
Interpersonal factor related to DEAB;Motivational Climate;;;;;;;;;;;;"Defined as the social environment created by coaches and/or peers that shapes individuals’ achievement goal orientations, reflecting the principles of achievement goal theory, and typically characterized as either a mastery-oriented climate or an ego-oriented climate (Ames, 1992; Duda & Balaguer, 2007).";;
Interpersonal factor related to DEAB;Motivational Climate;Mastery climate;;;;;;;1;;;1;"""Motivational climate characterized most centrally by a coach's emphasis on self-referenced improvement, effort, and a cooperative learning environment"" (Smith et al., 2008)";Perceived Motivational Climate in Sport Questionnaire (PMCSQ);
Interpersonal factor related to DEAB;Motivational Climate;Performance climate;;;;;;1;;1;;2;"""Marked by an emphasis on outperforming others, a focus on outcome, preferential attention to top performers, and punishment of mistakes"" (Smith et al., 2008)";Perceived Motivational Climate in Sport Questionnaire (PMCSQ);Motivational Climate Scale for Youth Sports
Interpersonal factor related to DEAB;Positive relationships with significant others;;;;;;;;;;;;Supportive relationships refer to social interactions characterized by affection, encouragement, and understanding, offering emotional and practical support to individuals and relationship quality refers to the overall evaluation of these interactions in terms of satisfaction, trust, and reciprocity related to significant others. (Weiss, & Smith, 2002);;
Interpersonal factor related to DEAB;Positive relationships with significant others;Athletes perceptions of power balances with their coach/training staff;;;;;;;;;;;Refers to the degree to which athletes feel that decision-making authority and control are equally distributed between themselves and their coach or training staff. This construct captures how athletes experience hierarchical dynamics and their sense of agency within the coach-athlete relationship (Fatt et al., 2024);;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;;;;;;;;;;;"""A positive coach-athlete relationship is characterized by trust, respect, and open communication, which enhances athletes' motivation and performance"" (Davis et al., 2022)";;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;Coach ability;;;;;;;;;;"""Assesses if an athlete is open to and learns from instruction, and accepts constructive criticism without taking it personally and becoming upset"" (Smith et al., 1994)";;
Interpersonal factor related to DEAB;Positive relationships with significant others;Positive relationships with coach;Coach relationship quality;;;;;;;;;;Refers to the perception of coach relationship quality (Scoffier-Mériaux et al., 2016);;
